Ticker
BA
GM
CVX
C
BAC
T
CAT
INTC
MSFT
AA
F
EBAY
DELL
DIS
DOW
CSCO
DE
FDX
GIS
GLW
GT
GS
JPM
KMB
KHC
KO
MCD
LLY
ORCL
MRK
MSI
MMM
ODP
CAKFF
PMMAF
VRTX
MNST
TEVA
FITB
SHLDQ
CTAS
ADSK
DISH
GILD
LIFE
GOOGL
FISV
LBTYA
PDLI
ADBE
BB
QCOM
SINA
BIDU
SOHU
DISCA
RBBN
AMAT
STLD
CDNS
BBBY
MCHP
WYNN
ISRG
NDAQ
RYAAY
APLO
INFY
JBLU
SPAR
HSIC
PAYX
VRSN
AAPL
FAST
XRAY
CROX
ZION
NTRS
CTXS
LAMR
PTEN
ATLC
CHRW
SIRI
ALPN
PCAR
PAAS
AMZN
ROST
VIAV
NTES
NTAP
ETFC
GRMN
COST
CHKP
LRCX
CIEN
IAC
INTU
EXPE
TCOM
UTSI
CTSH
RMBS
NIHD
YRCW
AKAM
KLAC
JNPR
ATVI
FLEX
AMGN
XLNX
EXPD
EA
PDCO
TROW
BIIB
QRTEA
SCHW
HBAN
NLOK
NVDA
SRCL
SBUX
CELG
CINF
EXTR
AAXN
HOLX
CMCSA
CPST
MRVL
BLDP
SIFY
CDTI
EUHMF
IBGR
MDT
DOV
ASH
NOC
MGM
VNO
MA
AN
FLR
GD
DTE
ADI
VFC
AGN
CAH
XEL
DHI
IPG
STI
BMS
LMT
WAT
ACN
D
XOM
CI
PJC
KGC
PEG
NI
YGEHY
ZBH
CSX
ICE
LUV
ITW
DRI
MAT
BBT
CCJ
HAL
PLD
MKC
GPS
TEX
HST
EL
IP
EMR
CLX
COP
CL
RTN
NE
PNW
RF
CNP
MET
EXC
BAX
OXY
S
SO
TPR
LEN
CPB
CTL
STT
PGR
HMY
CLF
VMC
CNX
PH
TECK
GPC
CBRE
DD
IX
SHW
PFE
DCMYY
WFC
MTW
WMT
EIX
KBH
SNA
ATI
XRX
EFX
GFI
KNMCY
MCK
ETR
CMS
HMC
AMP
AIG
RL
LEG
LB
IFF
PBR
MHO
GWW
JCP
DO
STZ
STVVY
AMT
TV
PM
FIS
MO
EP_pc
STC
CBS
BLL
HIG
AKS
HSY
SITC
DXC
MS
PNC
WM
ABC
AIZ
KR
TAP
HD
BDX
ARCH
SJM
VMW
SEE
BBY
ADM
BFb
IBM
UNP
CHN
SNE
R
SLM
MU
AVY
WFTIQ
MRO
CF
APA
DUK
KEY
TDC
SNV
WPM
LH
BXP
WDC
PPG
SPGI
ANF
WMB
ANTM
BC
JEC
EMN
VZ
NUE
OMC
NYT
LNC
UBS
NOV
AVB
MAR
IR
BMY
GNW
AEP
TMO
KSS
NEM
VAR
GHC
TTM
PSA
TRV
SWK
MBI
HDB
